asin,rating,title,text,date
B001RVFDOO,5,Delicious alternative to greasy traditional chips!,"These are a great alternative to traditional greasy potato chips.  Great for people that are dieting but still craving a salty, crunchy snack.  They are light and crunchy and they taste really good. I was afraid they were going to be like the rice cakes and soy chips but they really taste good.  The original flavor reminds me a lot of the Munchos chips.  The original flavor and salt/vinegar are my favorite but they are all good.  My least favorite is the cheddar just because it is an overwhelming cheddar flavor (I don't like cheddar) but most people really like it. I have purchased these several times now and I will continue to do so.  I  highly recommend this product for anyone!",12/7/11
B001RVFDOO,4,Great snacking alternative!,"For all of you potato chips lovers who are trying to eat healthy, these chips are a great alternative!  No they are not like fried, but the flavor along with the calorie/fat benefits make this a great choice! I liked having the variety pack for the opportunity to see which flavors I would like. As it turns out, I like them all! But I do have my favorites (like BBQ, salt & vinegar, and plain) so being able to buy them singlularly is an added plus.  I have already placed two orders since my initial purchase!",11/27/11
B001RVFDOO,5,Great Gluten-free snack and healthy,"I got these for my gf as she isn't supposed to eat any gluten.  All of the flavors taste great and they seem to be much healthier than regular potato chips.  If you are looking for a gluten-free snack, I highly recommend Popchips!",11/22/11
B001RVFDOO,4,I like all but one,"I like all the varieties except the salt and pepper.  They taste too much like black pepper and nothing else.  The others are very goodl<a href=""http://www.amazon.com/gp/product/B001RVFDOO"">Popchips 6-Flavor Variety Pack, 0.8-Ounce Single Serve Bags (Pack of 24)</a>",11/22/11
B001RVFDOO,5,Pop Chips,"The products are wonderful and fresh!!  Everything reported about the chips is on target, and I would recommend them to others.  Amazon's services are fantastic!!",10/26/11
B001RVFDOO,5,Yummy Yummies,I really enjoy these low calorie chips.  They have a good flavor with a good crunch and are crisp.<br /><br />I was wondering if when ordering a case of these chips one could order their favorites and not the whole 6 flavors?  Say just 2 flavors if desired??<br /><br />Its a great product. don't stop manufacturing them.,10/24/11
B001RVFDOO,5,Great tasting chips alternative,"These are really good tasting chips, they aren't too unhealthy so you can eat a fair amount. Love the flavoring.",10/22/11
B001RVFDOO,5,Mmm-Mmm-Mmm!!!,"I have been trying to find healthy snacks that taste good and boy have I found a great choice in PopChips!  These are a great healthier alternative for regular potato chips.  I love Special K cracker chips, but they only come in big bags.  I saw these and they are packaged the way I like (individual serving bags), so I gave them a try.  Now, I will never be without them!  They are sooooo good and there are a lot of chips in each bag.  Finally a good-tasting, healthier potato chip that I can enjoy!",10/19/11
B001RVFDOO,5,Better than expected,"I wasn't sure about these chips, but thought I would give them a try. These are tasty, crispy chips - and only 100 calories a bag! I like all the flavors included in the variety pack. I definitely will buy again.",10/19/11
B001RVFDOO,5,Great Snack!,"These chips are very tasty,  Its a nice size serving and only 100 calories.  Good grab and go snack for busy Moms",10/17/11
B001RVFDOO,3,pretty good. not healthy like an apple but...,"I agree with many of these reviews.  The product tastes good - not fantastic but good.  I don't like real, greasy potato chips and prefer Baked Lays.  However if you do enjoy real, greasy potato chips, please see the review referencing Pringles and Steven Baldwin.  very funny.<br />Do buy these if you like an ocassional salty snack but don't want to devour a large bag of fat-filled chips.  Don't buy these if you are looking for a healthy alternative to chips - eat a banana or apple instead (and not those apple chips or banana chips because they are high in sugar).<br />If you do get the big box - just put it some place inconvenient like the basement where you will have to exert some energy in order to get them - and if you do, BONUS! you just exerted energy and maybe earned a chip or two.",10/13/11
B001RVFDOO,4,Pop0chips,"The PopChips were great and they were fresh when they arrived. For the price, I wish there were more bags of chips for my bucks.",10/8/11
B001RVFDOO,5,Love them!,Aboulutely love Popchips!I first tried these healthy chips at a marathon i did in California. I like this variety pack because i got to try alot of the flavors ive never had.,9/28/11
B001RVFDOO,5,Great product and at a great price,This product was everything and more according to the advertisement.  I was totally satisfied with my purchase.  I recommend to everyone to purchase these chips from this site.,9/26/11
B001RVFDOO,5,Popchips Review,Popchips is a new product for me--ordered after seeing an ad in Weight Watchers magazine.  Loved the product.  Packing was perfect.  Shipping went fine.  No complaints with this order at all.  Probably will order again soon!,9/15/11
B001RVFDOO,5,Don't Defeat the Purpose by Eating Two Bags at Once!,"I have to watch my calories, but I tend to not be very successful if the food I eat is tasteless.  I have enjoyed all six flavors of these Popchips and feel great eating them at 100 calories per bag.  My favorites are Sour Cream & Onion and the Sea Salt and Vinegar flavors.  In fact, they're so good I just want to keep eating them; and have to resist opening a second bag, because that really defeats the purpose!  I like the variety pack and it's not a bad value.",9/11/11
B001RVFDOO,4,Great for diet,The product is exactly what it is portrayed to be. Tasty (not yummy) but good. I received the product promptly. I ordered 2 cases and will eat every package.,9/5/11
B001RVFDOO,5,Best Chips Ever,"I love these chips, they taste so good I am on a low cal diet and they are perfect. The individual bags keep you honest. Thank you PopChips",8/27/11
B001RVFDOO,5,Pop Chips,These are delicious.  My husband and I just love them.  Especially the BBQ and Salt and Vinegar flavors.  I like the individual packages.  It's a wonderful bargain when you get free shipping!,8/18/11
B001RVFDOO,4,A yummy alternative to high-fat chips!,"I'm a crunchaholic! I have to have something during the day to crunch! All other chips are so high in fat or sodium that it makes it very difficult to be eating healthy and still get my crunch on. PopChips is the answer and the individual bags are a great way to control your calories too! I highly recommend them all, but the salt and pepper are my least favorite!",8/18/11
B001RVFDOO,5,yummy popchips,These are the best snacks for me as I am a lap band patient.  They fill u up just enough and the small bags are perfect size,8/11/11
B001RVFDOO,3,Taste yummy but watch out for yeast extract intolerance!,"Yum! I had tried the original and the Bar-b-q and really liked them so decided to get the variety pack. For whatever reason the 24 pack is cheaper then the 12. The flavored ones do contain a yeast extract which is similar to MSG and gave my grandmother a bad headache. So if you know anyone that has a sensitivity to MSG, do not give them these.  These are tasty and a nice substitute for a greasy potato chip but they are not filling. You are better off eating a granola bar.",7/26/11
B001RVFDOO,5,Love Pop Chips!,A dream for those on Weight Watchers who love potato chips. The individual serving bags of Pop Chips are only 3 points and taste delicious.,7/25/11
B001RVFDOO,5,Pop Crisps,These are a Great size and healthy.  They satisfy the craving for something crisp and are reasonable calorie wise.,7/21/11
B001RVFDOO,5,GREAT PRODUCT!,These chips are GREAT substitute for the usual high calorie ones offered!  I keep them on hand to aid in my weight loss venture.,7/21/11
B001RVFDOO,2,Did not care for these. Only liked bbq. Wondering why these are best-sellers,I bought these and tried each flavor. I could not even finish any bag but the barbecue. I really liked the barbecue but all the other flavors were gross. And the texture is really like fingernails on a chalk board to me. HOw is this the #1 best-selling item? Amazed. Anywho to each his own! Godbless and enjoy. But if you are like me and enjoy barbecue just get the barbecue kind!,7/16/11
B001RVFDOO,5,OMG!  So delicious,"I can't believe these are actually decent for you.  They taste awesome!  I love these chips, they have great crunch and a great amount of flavor.  I am addicted to these and so is my boyfriend (who hates anything that's healthy).  I recommend these to all my friends.  I'm on the auto refill program but keep having to reorder early since my bf keeps eating them all.",7/9/11
B001RVFDOO,5,great chips,"I am on weight watchers and these chips are only 3 points and they taste GREAT.  I like every kind,  I use the plain chips to dip with my salsa.  I would recomend these chips to everyone weight watchers or not.",7/9/11
B001RVFDOO,5,Great product,This is a great product. I was a chip-a-holic and knew I needed to cut back on them. Then I was introduced to pop-chips.I have found my alternative. These chips are great! Low in fats but high in flavor. I purchsed a mixed case with multiple flavors and was not disappointed with any of them. Consider this product for your alternative to the high fat chips available everywhere. I am sure these will catch on and become a big hit.,5/2/11
B001RVFDOO,5,they grow on you!,"Saw these in Whole Foods and thought they looked interesting. Didn't care for them instantly, but by the time the first bag as gone (I have a husband and kids), I was hooked. Wanted to try other flavors and this is a great way to do it. Personally, I like the plain and also the salt/pepper. My kids love all of them though and, while these aren't fruit/veggies, I feel better about giving these to them as opposed to standard chips.",5/1/11
B001RVFDOO,5,Yummy:),"We received our assorted single serve packs today. This is the first time we ordered Popchips. They taste so good. We are already down by 5 packets between adults and kids.<br />Please bear in mind that these chips will in no way compete with ""regular"" fried potato chips. The low calories per bag is very much a part of why they deserve 5 stars. I'm sure we will be ordering more. Yay to finding a new healthier snack alternative.",5/1/11
B001RVFDOO,5,Best chips!,"I wa hesitant about ordering this product simply because I never ordered snacks of the internet,  so after finally decided to order it. It arrived within 3 days! the flavor is awesome! just like what I hoped for! if you like health food or like potato chips but hate thinking about how oily they are after eating them then this product is for you! if you are happy with the regular potato chips and doesn't care about the the oil and calories then stay where you are! those chips have so much flavor! they kinda remind me of rice crackers but with flavor! I have lived in the U.K. for a while and one thing I have always missed is the crisps that I used to eat in U.K. those popchips reminded me of the taste of the crisps! I will be order those again!",4/26/11
B001RVFDOO,5,Perfect Pop Chips,"I am a huge fan of Pop Chips. They had them at my grocery store, but their supply was dwindling, so I was afraid they weren't planning to order more. I purchased two cases (48 individual bags) of Pop Chips. They are all excellent. Purchasing them in the Variety Pack gave me access to flavors they didn't have at the grocery store (salt and vinegar, cheddar, salt and pepper). I've enjoyed all the flavors! (Barbecue is still my favorite, though.) I also got a better deal buying them online.",4/18/11
B001RVFDOO,5,Just my 2 cents...,"I have this on a monthly reoccurring purchase making the per unit price even lower that list.  That being said, Pop Chips are very tasty and the variety pack comes with 6 different flavors.<br /><br />My favorite flavors are Salt & Vinegar by far.<br /><br />The calorie count makes this snack a very guilt free affair!",4/17/11
B001RVFDOO,3,Quite delicious but not as good as real chips,Definitely better than Pirate Booty and slightly better than Baked chips. Very tasty but you feel as if you're almost eat something with the same texture as cereal. It's a small payoff to enjoy chips (albeit faux chips). The Vinegar and S/P ones are NASTY!,4/12/11
B001RVFDOO,4,Interesting... however I've found something else...,"I bought the 6-flavor variety pack.  They are pretty good... nice thing is that I'm not 100% sure if I'm crazy about the texture so by the end of an 0.8 oz bag I don't really want anymore.  However in my quest for different snack foods I found the ""Food Should Taste Good"" line of cracker chips.  My money will be spent on those rather than pop chips.  However I think that people should give these a try as well.",4/1/11
B001RVFDOO,5,Love These Chips,The BBQ chips are great.  We liked them better than regular chips.  They have a nice crunch.  Hate Kettle chips which are so hard that they are like eating shards of glass.<br /><br />We will definitely be buying more of the Popchips.,3/11/11
B001RVFDOO,5,tast great less lard.,These really are good I gave some to other people and they liked them too. The plain flavored ones take well to using them as scoops for your own dip or salsa. When eating the BBq flavored ones brings back memories of yester years when I would eat BBq pork skins while riding in the back of the truck on the range. I think the pepper ones could use more pepper but they are all still good and make a good snack or side dish to lunch at 100 Cal per pack.,3/10/11
B001RVFDOO,5,OMG!!!! The Best Snack Ever!!!,"To those of you, and there's a lot of us, who are constantly watching our weight and calorie intake,these chips are A-1 in my book.<br /><br />First of all, the flavors are incredible, very tastey and enjoyable.  The single serve bags are just the right amount, and a very nice portion might I add, and the calorie intake is only 100 calories for the entire single serve bag.<br /><br />I'm so happy I tried them, I bought the variety pack of single serves and I can't say enough good things about them.<br /><br />They're crispy and crunchy and the flavors aren't to salty, just right.<br /><br />So to those of you who enjoy a nice crunchy savory snack, you can't go wrong with POPCHIPS!!!  I'm hooked, now I just have to make sure I limit myself to only 1 - 2 bags a day!!!<br /><br />They really are good and the nutritional information isn't bad at all.<br /><br />So WOO HOO for those of us who can't sit down with a big old bag of Herrs or Utz and just can't seem to stop ourselves from putting our hand back into the bag over and over and over again, don't get me wrong I'm not bashing on Herr's or Utz, I love them both, however they're much higher in calorie than the POPCHIPS.<br /><br />Do yourselves a favor and give them a try, you truely can't go wrong, even my friends/family, who don't have to watch their calorie intake, enjoy them as well, so that's saying something.<br /><br />Hope to read other reviews of happy calorie counting snackers!!!!!<br /><br />Keep on Munching, the Healthy way with ""POPCHIPS"" snacks.",3/2/11
B001RVFDOO,5,Great price; Great taste;,"Found these while looking for good, cheap, low-calorie snack packs to buy in bulk for my office.  After my first shipment, I decided to have two boxes shipped to the office monthly via subscribe & save.  My next shipment arrives in two days. I'm so excited!<br /><br />Gotta have my pop chips...",2/28/11
B001RVFDOO,5,yum,My husband and I both really like the popchips.  They are a great substitute for regular potato chips and we both find them very satisfying.,2/24/11
B001RVFDOO,5,O. M. G. These ROCK!,"I read a reference to these on Jillian Michaels's website, checked out the Popchips web page, and liked everything I read. But the proof is in the tasting, of course. They arrived today and the consensus here in this house is that Popchips are incredible. They taste SINFULLY good, crunchy and just yummy. I love sea salt and vinegar chips in general, and truly LOVED the popchips version. Anyone on Weight Watchers plus will be happy to know that a single serving bag is only 3 measly points. HIGHLY RECOMMEND IT!!",2/21/11
B001RVFDOO,5,Popchips,What a great way to help with dieting and keeping on track.  These are very tasty and crunchy - great with sandwiches or salad or even by themselves.,2/21/11
B001RVFDOO,5,The Snacker,"My whole family loves these ""chips"".  I am following the Weight Watchers plan and the whole bag is only 3 points, there is quite a few in the bag totally worth it!!!",2/11/11
B001RVFDOO,5,loooooooove them,"i am trying to eat healthy and could not really find any good tasting low fat snacks. my friend told  me about pop chips that she bought from amazon. she said she loved them and i should give them a try, i said what the heck if she likes them they must be good. and what do you know i loved them and i have a bag almost everyday for a snack",2/10/11
B001RVFDOO,5,Pop chips are the best!!!!,"The only complaint I have with pop chips is that I can't get all of the flavors at the stores where I live!!! My husband and I both LOVE pop chips, his favorite is the salt and pepper and mine is the sour cream and onion.  Pop chips are a perfect mix between a chip and a rice cake!!!! We cannot say enough good things about them!",1/31/11
B001RVFDOO,5,Great and unique chips!,"I LOVE PopChips.  They have a great crunch without the greasy feel and taste.  They are very similar to munchos--very light and fluffy.  If you are looking for something to satisfy your salty craving, these are a great way without having to feel so guilty about consuming an enormous amount of calories.",1/30/11
B001RVFDOO,4,"Some are REALLY tasty, others a little ""chemical"" tasting",The original flavor would work fine with any dip and are okay on their own<br />The salt and pepper flavor is AWESOME.  Really tasty and a great snack for only 100 calories<br />The sour cream and onion is a little chemicall-y but decent.<br />The barbeque is good but not tasty enough.  The flavor doesn't go as well with the texture.<br /><br />Haven't yet tried the other two flavors.  Will update as I do.<br /><br />If you haven't tried popchips they are sort of a cross between pringles and rice cakes.  Less like styrofoam than rice cakes and made with the same potato flakes kind of texture as pringles without as much fat.<br /><br />So far I have this on subscribe and save and will keep that subscription active.  These definitely beat a 150 - 300 calorie bag of potato chips as a snack.,1/30/11
B001RVFDOO,5,Tasty!,"I bought these when they were on a Gold Box deal...thinking that it would be a nice inexpensive toss in for a month of lunches...and then I'd never buy them again.<br /><br />Not so...<br /><br />They're actually really tasty!  Exceptionally crunchy!  And the flavor is similar to kettle cooked chips.  Definitely going on subscribe and save for a while.<br /><br />I don't think they're any more salty than standard potato chips...but they're by no means ""low salt.""",1/30/11
B001RVFDOO,5,Topchips!,"Popchips are a great guilt-free way to add some crunchy satisfaction to your diet without added excess fat and sugar. They are clean, light, deliciously satisfying and are available in a variety of flavors.They would make a great lunch box addition. Popchips will be on hand in our home from now on!",1/28/11
B001RVFDOO,5,Yummy!,I received my box of assorted Popchips a few days ago to support my Weight Watcher meal plan.  I absolutely love them and find that they fit in with my plan.  Without hesitation I recommend all varieties of these chips.  What a great idea!!!,1/26/11
B001RVFDOO,2,Too salty,"Very tasty chips( ORIGINAL AND OTHER FLAVORS ),but ones with salt flavor way too salty.Not sure who likes so much salt in chips..",1/25/11
B001RVFDOO,5,I LOVE POPCHIPS!!!,"What a great snack!  I love these crispy, crunchy, treats.  Packaged in a single serve bag, I buy these by the pack of 24 assorted flavors so I have them on hand whenever I feel the urge to snack.<br />Unfortunately my family has discovered how good they are so they are now going faster than I had anticipated.  Time to order some more!  All the different flavors are seasoned just right--not too salty or spicy.  I love Popchips!",1/15/11
B001RVFDOO,5,Awesome Snack,"These chips are awesome. The light airy texture makes them a pleasant snack. I am dieting and thesse fit in reall nice. Gives me that salty, crunchy yummy taste that keeps my points low for the day. I love them. I have recommended them to all my diet buddies and they love them. I haven't tried all the flavors yet, only those in the variety pack but trust me I will be tracking them all down and hopefully find my favorite. That may be difficult they are all so good!!!",1/13/11
B001RVFDOO,4,YUM,"I tried these in Colorado and came home to find out they only sell them on the west coast. Amazon didn't sell the ones I wanted. I put it on a wish list as a gift for a loved one. Within a week of their birthday, Amazon e-mailed me that it was available. Great chips but, took longer to ship then expected. Just in the nick of time for the birthday. When you want something real bad, Amazon usually comes through.",1/7/11
B001RVFDOO,5,Loved the chips,We absolutely loved the chips and after ordering them from Amazon we were able to find them in Target.  They have a really good flavor and we would eat them even if we weren't trying to loose weight.  Recommended by weight watchers.,12/28/10
B001RVFDOO,5,Gotta Love Em,"Popchips are absolutely delicious, and getting the variety pack is great.  Everyone in my family has a favorite flavor.  Highly recommend these as they feed your chip craving, but are not nearly as bad for you as chips.",12/26/10
B001RVFDOO,4,Popchips,I really like the flavors and the fact that the chips are low in fat.  I especially like the bbq and salt and vinegar.  I don't care for the salt and pepper.  I wish I could get a multipack and choose the flavors I want.,12/16/10
B001RVFDOO,5,Fun Game,We have played this with three adults.  fun game that does not take too long to play.  makes you think and plan only to have someone else mess up your plans.,12/12/10
B001RVFDOO,5,Yum,That's all I can say. Yum at a great price! I can't find these sizes anywhere in my local grocery so this is just awesome.,12/9/10
B001RVFDOO,5,Love these!,"Great low cal snack... satisfies the crunchy, snacky, salty cravings without high calories.  All flavors are good;  The cheddar is a little too seasoned for my taste.",12/8/10
B001RVFDOO,5,Healthy and Tasty,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them.",12/3/10
B001RVFDOO,5,POP Chips on the go,If you haven't discovered Pop Chips yet - you don't know what you are missing.  Low calorie and high in flavor.  Great for the kids lunches. I need the single servings or I will eat the whole big bag.,11/30/10
B001RVFDOO,5,Popchips - Love !,"I am so happy to try and enjoy pop-chips. They were recommended on calorie count.com, products like this are not available at local grocers. Caloriecount.com mentioned the snacks were available from Amazon.com which we all know is easy to order and accept delivery to your door. The pop chips are delicious, they come in many flavors. I have ordered them twice and shared them with friends. We love the single serving 100 calorie packs. The treats are tasty and delicious. I am on an email list to alert me when the jalepemo flavored pop chips become available. Thanks Amazon! I am planning to order them again for snacks on a family vacation. The variety will make this a fun treat and when compared to other 100 calorie treats this product gets a 10/10 rating from our family.",11/14/10
B001RVFDOO,5,Great Snack!,"These have become a wonderful alternative to those afternoon cravings for salt, and or sugar.  They have texture and flavor, and a bag hits the spot.  I would highly recommend these if you are looking for an alternative to the junk from candy machines.",11/7/10
B001RVFDOO,5,Popchips  variety box,"I LOVE Popchips!!  These are the BEST.  Individual serving bags, flavors are great, taste is excellent.  My daughter and grandson love the barbeque.  I have found that buying them through Amazon is cheaper and Amazon offers the bigger bags also.  I have to watch that because I could eat the whole bag.",11/6/10
B001RVFDOO,5,Pop Chips Rule,"I am a chip fanatic, when I heard of these, I HAD to give them a try! They are very tasteful esp. the bbq one's.  I have yet to try the other flavors but I am sure they will not disappoint.  I watch my weight/health so these are perfect, just becareful because they are addicting!",11/6/10
B001RVFDOO,4,Pop Chips 6 flavor Variety Pack,"Good Variety of the flavors, makes it helpful to sample for your choice of type you prefer. Also good for packed lunches or as a portioned snack.",11/4/10
B001RVFDOO,5,Pop chips...love them!,This is a great snack to have instead of potato chips. Lower in calories but still delicious. Will be ordering them again.,10/30/10
B001RVFDOO,5,THOUGHTS ON PRODUCT,"I was very pleased with the popchips.  MY first order was before the chips hit the stores.  The taste is delightful.  No greasy taste. In fact the variety in flavors will keep your palate very excited!  Amazing how it is made.  Calorie count is great too! I went further to send the chips to my family they too were very pleased with them.  My third order I placed for a gathering of 12 friends.  They too, could not get over the variety of flavors and how they were made. I feel the product itself won over more prospective customers. Try it yourself, I know you will be very pleased.<br /><br />Trish Kowalski",10/15/10
B001RVFDOO,5,Love Love Love,I love Popchips. They are delicious and I can't believe one bag is only 100 calories. The flavors are great although I am not a fan of salt and pepper. I would highy recommend as a way to try the different flavors. I am sure you will love them too.,10/13/10
B001RVFDOO,5,Delicious!,"I hate healthy anything!<br /><br />But I am overweight, so I need an alternative to my normal routine of Doritos potato chips. The only reason I tried these chips is because of the other reviews, so I am contributing my 5 stars toward the product.<br /><br />From just looking at it, I was expecting it to taste more like rice cake... but I was pleasantly surprise. The chips tastes great, very crisp... I don't really know how to explain it.<br /><br />All the flavors are great. My favorite is the BBQ. The Original is a bit too salty, but still very tasty.<br /><br />Highly recommended! At least give it a try before disregarding it for being a healthier snack.",10/11/10
B001RVFDOO,5,Popchips Satisfy my Salt and Crunch Craving,"I'm trying to eat healthier and one of the things I really love is chips and salty snacks of all kinds!  These Popchips really do the trick of satisfying my craving. Though I don't really care for the pepper flavor, I like all of the others.  I will buy these again.",10/11/10
B001RVFDOO,4,YUM!,I found these chips on vacation in Oregon.  The store was a kind of natural yet upscale type of grocery store.  I had never seen them before.  They are different than regular chips-no oily taste but very flavorful.  I didn't know if I could get them in CA so I ordered a case!,10/9/10
B001RVFDOO,5,Very happy!,"These taste great and are a healthier alternative. My favorite was the sea salt and vinegar. I probably won't order the other flavors again since I have a favorite, and don't eat potato chips all that often. But the variety pack was great to get to try them all.",10/2/10
B001RVFDOO,5,Awesome Product,"These are great - my entire family loves them.  It is a great addition to my son's school lunch - and I have the satisfaction of knowing it is a better alternative then the normal ""chip"" out on the market.  Great flavor - BBQ and Sourcream & Onion are our favorites!  Love the single serve bags - wish you could buy them at the store - but for now I will continue to purchase on Amazon...  because of the great service and varieties!",9/29/10
B001RVFDOO,5,Great Alternative to Fried,These chips are flavorful without all the fat of fried. I love love the bbq flavor.  I also like how the chips don't crumble in the bag.,9/28/10
B001RVFDOO,4,Delicious!,These are great little snack packs - flavorful chips and fairly low fat and low cal.,9/22/10
B001RVFDOO,4,"Yummy, healthy snack!","I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!",9/22/10
B001RVFDOO,5,Popchips are wonderfully tasty,Popchips are very good.  The varity received lets you try the diferent flavors.  I only wish I could find them locally.,9/21/10
B001RVFDOO,5,PopChips Are The Best!!,"These are the best chips invented for those who are trying to watch their calorie intake.  You get a lot of chips for minimal calories, and they taste great!!",9/20/10
B001RVFDOO,5,Delish,"Great selection of chips & very fresh. If you are are looking for a healthy alternative to fried potato chips & don't like the fake taste of baked, these are just the most amazing chips you can eat. I bought 2 cases & every time I'm at Target or our Super Box Store I make sure to pick them up!!",9/18/10
B001RVFDOO,5,Different and yummy!,"I agree with reviewers who enjoy this alternative to the regular salty snack options.  The texture of the chips is great and they're very flavorful!  I can certainly taste the sodium but if this isn't a problem for you, I would recommend trying them.  It's a snack I look forward to having a chance to enjoy.  Everyone has their favorite flavor (i'm no exception -BBQ FTW!) so I recommend trying the variety pack first.  I thought I'd have at least one or two flavors we'd 'hate', but no.<br /><br />My initial purchase of an alternative snack was Stacy's Pita Chips in Parmesan Garlic & Herb.  Nothing against them, but they lacked the flavor punch I was looking for.  These Popchips are exactly right.<br /><br />I can definitely recommend these chips for anyone who likes a salty, flavorful snack!",9/17/10
B001RVFDOO,5,Loved these chips!,"I loved these chips. They were exactly what I had been looking for. They are not fried/greasy or baked/dry they were great-tasting, satisfying, and healthy alternative to regular potato chips. You can feel good about eating these chips. Can't say enough, you'll have to try them for yourself! I am ordering more now!",9/17/10
B001RVFDOO,4,Great alternative to regular potato chips,"Although I can not say that these are the same thing as potato chips, they are a good alternative and very tasty. The flavors are much like the potato chips you would get at the store; it is the texture that is different. They are less oil (a good thing) and lighter than potato chips almost like a rice cake except much thinner and crisper. All of the flavors are good except for the cheese one. I didn't care for it although my two-year-old likes it.<br /><br />All-in-all, for the calories, you can't beat it, and for long term weight maintenance and health, these are great and delicious as well. Amazon.com sends out a very fresh product that is as good as if you bought it from the shelf of your local grocery store.",9/3/10
B001RVFDOO,5,Pop Chips,The chips are very good and serve as a great snack with very low calories and Weight Watcher point value.,9/1/10
