,asin,rating,date,combined_text
12,B000G6RYNE,4,01/08/2012,"Quite good I enjoy these chips. I got these instead of my usual jalapeno ones from the same company for a bit of flavor change. I think those are better but only slightly, like the jalapenos there is a great amount of flavor without being too overpowering. The small bag size prevents you from overeating as with a larger bag."
13,B000G6RYNE,5,01/08/2012,"Delicious I love these chips, I buy the 24 pack once a month. The bags are just the right size for snacking and prevent me from eating way too much with the larger bags. The jalapeno spice is subtle enough not to be overpowering but still gives you a great amount of flavor."
14,B000G6RYNE,5,01/04/2012,"Salty and vinegary!!! These are the strongest tasting salt and vinegar chips I've had. I could still do with more vinegar flavor, but I think this is as close as I'm going to get without dousing them with vinegar powder myself.I did a side by side with the Cape Cod salt and vinegar and these are about twice as flavorful. Additionally, as other reviewers have said, they have quite a good bit of potassium in them (somewhere in the neighbor of 15% RDA per serving)."
15,B000G6RYNE,5,12/01/2011,"WOW!!!! I have been ordering the sea salt chips for about a year.I love them,but my daughter picked some of these up at our local grocery store and now they are my new favorite.Will be ordering them."
16,B000G6RYNE,5,11/19/2011,Best gluten-free dairy-free chips These are my favorite gluten-free dairy-free flavored chips. Many other salt and vinegar chips contain dairy so it's nice to find ones that I can eat. The vinegar flavor is really intense and good.
17,B000G6RYNE,4,09/10/2011,"A unique flavor for fans of Thai food These Kettle Brand potato chips in the Spicy Thai flavor really do taste like food I have eaten at a Thai restaurant. The ingredients listed include garlic powder, onion powder, parsley, jalapeno, and ""spices."" I'm not sure what other spices there are, but it sure tastes like lemongrass to me...yum. These chips are thick cut and very crunch. They come in a seriously heavy-duty bag. I tried to open it like I do regular chip bags by pulling the two sides apart; no way! The bag is so thick I wondered if it was plastic. I started looking for the scissors and decided that any company that put their chips in a bag this nice must have provided a way to open it. Sure enough, there is a small slit on the top and the simple directions ""tear here."" So easy. Why didn't I think of that."
18,B000G6RYNE,3,05/06/2011,"Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good Honey Dijon flavor: okay flavor, but both my girlfriend and I thought they left a bad aftertaste. The aftertaste is sort of like old cheese (presumably some folks like this... I'm not a fancy cheese eater), and it lingers for at least an hour. I'd give this flavor a rating of 2 stars out of 5.We have also tried the NY Cheddar flavor (4 stars), which we both liked better, and they didn't leave any long-lingering or bad aftertaste.I'd give the consistency of the chips 4 stars. The chips are crunchy, but also greasy enough that I keep a napkin near or wash my hands after eating Kettle Chips."
19,B000G6RYNE,5,05/05/2011,"Yowzah!! For me, Kettle is the best brand on the market. They really know how to turn the humble potato into something fit for the gods! I didn't think anything could top their salt and pepper chips, but these are my new favorite. The flavors are pure and real. They go great with just about everything and are highly addictive! I hope they come out with a low fat version; their low fat chips are excellent but they need more flavors."
20,B000G6RYNE,4,03/23/2011,Very good. Salt and vinegar chips are definitely my favorite type of any potato chip. These ones made by Kettle were very tasty and I enjoyed them thoroughly. I just wish there was a more healthy option with the same great taste.
21,B000G6RYNE,5,03/19/2011,"Excellent! What I like about them:1) Very thick chips.2) No trans fat and all natural, according to the info on the bag.3) Flavor, but that's a subjective thing.4) 2oz bags, which keep you from eating too much at one time. Just set a limit of 1 bag.Cons:As another reviewer said, there's a lot of oil in them chips. What I do is place a paper napkin on a plate and pour the chips on them. Wait a few mins before eating and the napkin will soak some of the oil off. It seems gross that there is so much oil on the chip that a napkin will soak it off, but it's true! And at least this way, you'll get rid of some of the oil."
22,B000G6RYNE,5,02/16/2011,"Tangy goodness. These are so tangy it prevents me from eating too many, a handful or two does the trick. Very crisp and savory."
23,B000G6RYNE,3,02/12/2011,"Heavy on the Vinegar I usually love Kettle Chips, and love salt & vinegar, but these chips were way too vinegary for me! They do have the typical kettle chip crunch, but are too aggressively flavored for my taste."
24,B000G6RYNE,4,01/24/2011,"A delicious, crisp chip with good flavor I have always been a fan of Kettle chips. When you open a bag of Kettle chips you know you are going to get quality. These chips are no exception and live up to the name printed on the package.The New York Cheddar chips have a very subtle flavor to them. You can taste the cheddar in them; but it doesn't smack you in the face like supermarket brand chips might. The taste lingers as well which is a definite plus!Another aspect about these Kettle chips is the fact every chip is nice and crisp, that crunch in your mouth. On top of that there are no burnt chips in any of the bags I have had since the purchase. The only negative I might have is that the flavoring of the chips is uneven. Some chips might pack a nice cheddar punch while another might taste rather plain. This isn't a big flaw as it happens when getting seasoned and doesn't ruin the bag at all.Overall the quality of the chips is fantastic. The flavor is great and you wont' be disappointed , especially if you are a cheddar lover!"
25,B000G6RYNE,5,12/17/2010,BEST BUY in BBQ Chips Tried many varieties of BBQ chips and hands down these are the BEST on the market! These R not too salty or greasy. Great crispy crunch. Plenty of good BBQ flavor with a hint of sweetness that all other brands fall short of. Every bag (after bag) is just as mouth wateringly delicious as the 1st!!
26,B000G6RYNE,5,11/23/2010,"Love Them! Kettle chis are the best ever! These used to be my favorite flavor until I tried their Salt and Pepper kind but I'm sure this is just a personal preference.Crunchy, real potato chips!"
27,B000G6RYNE,5,11/20/2010,"Crunchy and Tasty These chips have the right amount of crunch and I enjoy the taste. Chips are consistent and have a fairly even distribution of seasoning. I like the 2-oz size bags, just the right amount of chips."
28,B000G6RYNE,5,11/07/2010,"Convenience at low cost I subscribed to these - one case every three months. That comes out to about $5 a month for the convenience of having my favorite chips handy whenever I want. Because it seems Frito-Lay has managed to crowd out every other chip vendor from pretty much all my local stores this is the best way to ensure a steady supply of the items I want rather than the items Frito-Lay wants me to have. The two ounce bags are larger than you might be used to buying at the Subway (for example) which I find works very well - they're large enough to be a good snack on their own, or you can even share a single bag over lunch. The size is perfect for ensuring these fantastically crunchy chips are always fresh - no chip clip needed!The only problem? I subscribed to four cases a year and having these yummy chips always in the pantry makes it really easy to increase ones Kettle chip consumption. Definitely have to hide the case from the kids!"
29,B000G6RYNE,3,11/04/2010,"An Acquired Taste OK,I did read the reviews which ranged from splendid to awful. I took the plunge as I do like salty, and tangy flavors. No, I had never had these before I took the leap and ordered a case at a super price. They arrived quickly and in great shape with the sell by date FEB 2011. Umm, I'm in the middle on these chips, they are OK but not something I can't live without. I love the crunch, the color, NO TRANS FAT. They are a little too vinegary for my taste, which is a lot coming from a kid that grew up eating pickled hard-boiled eggs and pickled pigs feet.I haven't tried them with a deli sandwich and a cold mug of beer which might improve the experience :)"
30,B000G6RYNE,5,10/17/2010,"Best deal ever! This was the best deal ever. The delivery was fast, the chips are delicious and very fresh. Love it:)"
31,B000G6RYNE,5,08/11/2010,Yum! My husband and I LOVE these chips! Personally I think the flavor is perfect. Try them for yourself!
32,B000G6RYNE,5,02/20/2010,"Barbeque perfection The barbeque flavor of these chips is really perfect! Just spicy enough, a hint of sweetness, just a little smokey. The chips themselves are extra crunchy and just thick enough to be substantial, but not hard. This makes for a wonderful snack or a great accompaniment for burgers, hot dogs or brats, chicken or just about any casual entree."
33,B000G6RYNE,5,01/19/2010,"Excellent Thai-flavored chip I was hesitant to buy this at my local grocery store, Lunds, but they were on sale, so I bought a bag. I've found that going beyond the simply-flavored chips, like cheddar or vinegar, usually results in disappointment. Tried the Thai or asian-inspired chips by Target, Archer Farms, and they were awful. These Kettle Spicy Thai chips are just awesome...so much so, that I'm considering buying them in bulk from Amazon. The taste is complicated and stimulates different parts of the palate. The taste sensations prevalent in real Thai food is baked into this chip...sweet, salty, spicy. Was sour in there too? I don't know, but this is a well-made well-balanced chip that is addicting."
34,B000G6RYNE,5,11/15/2009,"Best Kettle Chips! As a professional potato chip muncher, I see these as thee very BEST on the market. Rich taste and flavor!! Almost impossible not to finish the entire bag.The true meaning of decadence!"
35,B000G6RYNE,5,11/12/2009,"The Supreme Salt & Vinegar These are hands-down the absolute best Salt & Vinegar chips you can buy. They have a great, strong flavor that has left me addicted. These are certainly my favorite chips. I highly recommend trying them!"
36,B000G6RYNE,5,10/20/2009,"Delicious as always! Oh, I love these chips! And they're so hard to find where I am, and when I do find them, they're usually $1-2 more per bag for less. Great that these are so cheap here at Amazon."
37,B000G6RYNE,5,08/18/2009,"OooH Yummy! I LOVE these chips! It is a little weird to review potato chips. But these chips are great. The crunch is just right, plus they have just the right amount of salt. Not to salty not too bland. They are a little oily but that's ok. The best thing is the 2 oz package. When I buy a larger bag it's harder to resist eating them all. This 2 oz package allows for a little ""portion control"". Be sure to use your scissors to open, 'cause these chips are packaged for freshness and don't open easily. Enjoy!"
38,B000G6RYNE,4,08/04/2009,"Not quite the best... In the past couple years I have eaten and reviewed several kinds and styles of chips, from the best I've ever had to big disappointments. If you have eaten the LantChips varieties, there is no way that they are not the best as a group; the Kettle chips are rightly salted and I was so irritated by some Pringles products. Kettle has good flavor but the small size and overwhelming oiliness takes away from the flavors. All in all, its good to have choice--Amazon does not stock the LantChips all the time so there are some days that there is no choice."
39,B000G6RYNE,4,06/15/2009,"want to gaain twenty pounds with no control whatsoever? Buy this! these chips are good, and bad, and create moral dilemmas constantly. If wou are strong at will, or having a large BBQ go for it, but as for me, i was in the habit of bringing a new bag to work every three days, had to put in a lot of time on the treadmill to make up for it. BEWARE"
40,B000G6RYNE,5,06/14/2009,"One of Their Best Flavors Kettle Chips flavors can be hit or miss. Some of their flavors are terrible. But this is very simple and delicious. Probably one of their best flavors.Pros: Thick, crunchy potato chips with light salt that doesn't compromise on taste, eco-friendly business that isn't just giving us lip serviceCons: The occasional burnt chip and the bag is a pain to open. They have a tab that you can pull down but most of the time I end up tearing down the entire side of the bag. Use scissors instead."
41,B000G6RYNE,5,06/10/2009,"Love these chips! We bought these chips at a little sandwich shop in Sonoma while we were on vacation. I wasn't sure what to expect by the package, and at first bite I didn't know what to think...and then all of the flavors hit!Yum! They are a bit spicy, but nothing overpowering. Just lots of crunchy, sweet, spicy goodness. They aren't sold everywhere though, I'm still trying to find them somewhere close to where I live."
42,B000G6RYNE,5,03/17/2009,"Highly addicitive chips I have to admit that those chips are so good that they are highly addictive. I can't stop eating them!!! It's crunchy and seasoned at the right amount of flavor and salt. Just perfect!!! Believe me, some chips are so salty, I can't finish a small bag. But this one... I just keep on eating!"
43,B000G6RYNE,5,01/14/2009,These are AWESOME! These are some of the best chips that I have ever had... They sure beat anything else out there and are even cooked in a way that is better for you than most other name brands. They are tangy and crisp and satisfy any craving at the time! These will be the only chips that I buy from now on and I thank amazon for letting me buy them online in bulk and save some money at the same time!
44,B000G6RYNE,5,01/11/2009,"One bite and you'll become a ""chippoisseur"" I'm addicted to salty and tangy flavors, so when I opened my first bag of Sea Salt & Vinegar Kettle Brand chips I knew I had a perfect complement to my vegetable trays of cucumber, carrot, celery and cherry tomatoes. Skip the dip; balance the tangy chips by alternating bites of raw vegetable.As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.I also recommend Kettle Chips Honey Dijon and Kettle Chips Spicy Thai.Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly."""
45,B000G6RYNE,5,01/11/2009,"Crunchy, salty, sweet...finally, a Superbowl snack that scooores! These Honey Dijon chips bring a terrific balance of salty, tangy, sweet and crunchy. Other brands I've tried use too much mustard flavor, which overpowers the Honey Dijon pairing.These chips make a great side dish on a BBQ plate with baked beans, coleslaw or potato salad and grilled meat. Naturally, they also go down great with beer.As an Oregonian, I'm proud to share these delectable snacks with friends, especially those living outside our state and who haven't experienced gourmet chips. I tell them Kettle Brand does for potato chips what microbrews did for beer.Kettle Brand potato chips are unmistakable--a light gold color, rich flavor and amazing crunch. Kettle Brand chips are also a healthier snacking option than the major chip brands. Kettle Brand chips don't have trans fats, MSG or artificial flavors and colorings. The company also has a line of organic potato chips and all of their products are certified Kosher.I also recommend these other Kettle Chips flavors: Kettle Chips Sea Salt & Vinegar and Kettle Chips Spicy Thai.Annette Solomon, a reporter for the Salem Statesman Journal recently noted that a glass of wine goes nicely with these chips. Solomon wrote, ""...you could be missing out on a wonderful pairing. These chips are spicy, so you would want to select a semi-sweet white wine. Also, a moderate amount of acid will subdue the strong flavors of ginger, lime, garlic and cilantro without over-powering them. Classically, a German-style Riesling fits these parameters perfectly."""
46,B000G6RYNE,5,01/09/2009,These chips make me weak at the knees These chips remind me of a long obsolete brand of chips we could get in middle school. They are by far the tastiest chips I've had and it's impossible to walk past the aisle without picking up the trademark blue bag and then putting the bag clip on the bag!
47,B000G6RYNE,5,09/14/2008,"By far my favorite chips These are by far my favorite chips, they are extremely crunchy (similar to other Kettle style chips), but it's the extreme Vinegar flavor that differentiates these from lesser fried potato snacks. I've tried several other brands of Salt and Vinegar and none of them come close."
48,B000G6RYNE,4,09/10/2008,"Good chips, more cheese They are good but need more cheese and wish they were krinkle cut. I much prefer the salt & pepper just for the krinkle cut - they have a better texture. All around this brand is much better than Frito-Lay and a good price on Amazon when you get free shipping. These are similar to Tim's or Zack's chips in that they are very crispy.On a side note, these are the hardest bags to open by hand. I have to use a knife or scissors everytime."
49,B000G6RYNE,4,08/26/2008,Pretty good tasting chip It took a while to get used to these chips but they are pretty good and more healthy for you. They sure were eaten all up by my family and friends.
50,B000G6RYNE,4,07/29/2008,"Yummy chips These are delicious. The 2 oz bags are a bit big for school lunches, definitely more than a serving."
51,B000G6RYNE,4,07/29/2008,"Best sour cream & onion chip I've had I recently tried this flavor/brand and was surprised at how delicious these chips are. The best thing was that there were a lot of ""brown"" chips in the bsg (my favorite), so I bought some more through amazon and shared with family and friends. I am a little disappointed that there are not, so far, very many brown chips in these bags, but the flavor is still very good. I like them better than the yogurt and green onion flavor because they do not seem to be as salty, and the onion flavor is better. If you haven't eaten Kettle chips before, I recommend that you try a bag before buying bulk. They are thicker and crunchier than Lays but just as fresh out of the bag."
52,B000G6RYNE,5,07/27/2008,"Great chips We are always pleased with Amazon's packaging. Chips are never crushed or broken, always fresh. We really liked this brand/flavor of chips. Very tasty!"
53,B000G6RYNE,5,07/25/2008,"Fabulous! These chips are some of the best I've tasted. They are not filled with chemicals. You taste the tangy vinegar as well as the potato. Not greasy. Perfectly crispy. If you don't like salt and vinegar tanginess, don't even bother to try. These definitely have zip. I love them. My children and their friends love them. Even my 4 year old loves them!"
54,B000G6RYNE,5,07/13/2008,"Box-o-Chips These chips were a great deal. Kettle was having a special deal for the case of chips. They are hard to find in Vegas and are my favorite flavor. Shipping was very fast, sooner than expected."
55,B000G6RYNE,5,07/07/2008,fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
56,B000G6RYNE,4,07/05/2008,An addictive potato chip Eat at your own risk. Once I would open a bag I could not stop. Good and salty.
57,B000G6RYNE,5,07/05/2008,"Great Chip! I don't eat many chips, but these I love. Great buy and arrived quick and packed great. Expiration date is a ways away, so I have awhile to enjoy them Great natural potato flavor. I love brown russet, hardy flavor and these fit that description to a tee."
58,B000G6RYNE,5,07/04/2008,"Excellent balance of taste, crunchiness, and moisture I simply fell in love with these chips and refused to share them with my friends. :)) My experience with a lot of cheese-favored chips has been too salty and a little over the greasy side. But these NY Cheddar from Kettle really changed my mind. Thanks to Amazon for great discounts and I don't have to buy them from the store anymore."
59,B000G6RYNE,5,07/04/2008,Yum Bought this box of chips as a Father's Day gift because Dad loves them. They are very yummy and more substantial than regular chips.
60,B000G6RYNE,5,07/03/2008,"Very good chips at a great price. These chips are quite tasty and the price is right. Packaged very well, would buy again."
61,B000G6RYNE,2,06/29/2008,70% of the chips in the bag are over cooked I like Kettle chips but was really disappointed with this order because they were over cooked. I bought a bigger sized bag from Costco and the chips were all cooked perfectly. So I don't know why these were different.Will never buy these chips from here again.
62,B000G6RYNE,5,06/28/2008,Great chips! For some reason Amazon would not ship these to Alaska!..so I sent them to my grandchildren who got to enjoy them. They are very good chips! Amazon should rethink the shipping to Alaska thing. I would order groceries online.
63,B000G6RYNE,4,06/20/2008,"Not bad but a little hard to get used to My husband likes these a lot. They are a bit different to get used to as they are less greasy and salty in taste than the usual chips you buy. They are more browner than I would like to see and the chips are pretty sturdy in texture. Not bad, though. Just takes getting used to eating chips better for your health. They do have about 1/2 the calories in fat, however."
64,B000G6RYNE,4,06/20/2008,"Firm quality chip Just got this order and it is ok. A bit light on the cheddar flavoring and herb taste eludes me, if it is there."
65,B000G6RYNE,2,06/19/2008,"Not Very Creamy or Chivey... I really love Kettle brand chips, but these are rather disappointing. There is very little sour cream or onion flavor."
66,B000G6RYNE,3,06/10/2008,"Prefer other flavors I took one and said good Russet potato chip but I found that the flavoring was subtle for my taste, a bit oily and overcooked. It may be because I am use to eating their great tasting Kettle Chips Spicy Thai, 2-Ounce Bags (Pack of 24). Or perhaps because all the chips in the bags I received were overcooked and that overpowered the seasoning. It is obvious the chips are flavored, but if I did not read the bag I would never have thought it had Cheddar flavor. And I love New York Cheddar. The flavoring included Parmesan, Cheddar, Blue Cheese, garlic and other spices. A good chip even when overcooked, but I do not plan to buy them again."
67,B000G6RYNE,5,06/02/2008,"These will be habit forming! I took one and said good Russet potato chip but where is the flavoring? Then all of a sudden, within seconds, it spread to my senses and my taste buds were happy. As close to Thai food as a potato chip can get. These chips are spicy enough to satisfy that craving for spice and a hint of sweetness that makes them habit forming. The flavoring included garlic, ginger, jalapeno, cilantro and other spices, and it just felt great to eat these. I will buy these again. These were a treat."
68,B000G6RYNE,2,05/14/2008,"Good and tangy I agree with the other review, these chips are not for a sore mouth or tender gums. The chips are very hard and the taste is delightful if you enjoy the salt/vinegar combo. Unfortunately, every bag I received in that case was over cooked! They were very dark and only a few golden brown chips in each bag. They definitely need to improve that!"
69,B000G6RYNE,5,03/27/2008,the best chips ever We love Kettle Chips Lightly Salted and don't feel guilty eating them! We used to buy them at Whole Foods but buying from Amazon has saved us money. We have purchased at least 3 times and have been happy with the chips and the delivery.
70,B000G6RYNE,5,02/21/2008,"I do not even like kettle chips and I love these A friend of mine brought these into work with the claim , ""these will change your life!"" While my life is fairly unchanged, I cannot get enough of these chips . . . . and I do not even like kettle chips. For the most part, I find Kettle Chips to be too thick and greasy, but the flavor of these chips is amazing! The are the type of hot that is refreshing. If you do not enjoy spicy or hot things . . . try these anyway, they may convert you."
71,B000G6RYNE,5,02/21/2008,"You have to love sea salt and vinegar already But if you happen to, like me, there is no better sea salt and vinegar chip I've found in this country."
72,B000G6RYNE,5,02/19/2008,"Addictive These are the best potato chips I've ever tasted. It's easy to go through half of a bag without stopping. The texture/crunchiness is just perfect, as is the salt and vinegar combination. I don't know how they taste so much better than all of the other chips I've ever had, but they do. And, judging from the nutrition facts, they seem to be healthier, too. They're somewhat fibrous and have a good bit of potassium and vitamin c, which could be because they don't skin the potatoes and the chips are a bit thicker than normal.And if you like these, all of the Kettle chips are great."
73,B000G6RYNE,5,01/26/2008,"amazing chips i rarely eat chips but i saw these and tried them. they are really amazing. i love cheddar too, but the chips are really thin and crunch and delicious flavor. i recommend them."
74,B000G6RYNE,5,12/03/2007,"Best Chip Ever This is easily the best potato chip that I have ever had. Look at the ingredients: Ginger and 3 types of hot pepper. How can you go wrong?Obviously, not for you if you don't like spicy food. But, if you DO like spicy food, you'll probably love these. They have that hot-with-a-hint-of-sweetness flavor combo that is prevalent in a lot of Thai food."
75,B000G6RYNE,4,08/08/2007,"Tangy, spicy, and sweet- oh my! Kettle Chips Spicy Thai potato chips have the perfect amount of sweet, savory and spicy-- everything you'd want in a good meal or better yet...a potato chip. Since these are kettle-cooked, the chips are uniquely shaped and are sometimes a bit over-browned. They are, however, sliced just perfectly, not too thick, not too thin, so you can actually get a great crunch with each bite without breaking a tooth off. The flavor is tremendous, although I wouldn't describe it as Thai. It's more of a vague, sweet and tangy flavor with a kick, and every now and then you get a great big hit of ginger. If you like any spice at all, these really are not overly spicy, so most people can handle them. The fact that these chips have absolutely no artificial ingredients or trans fat makes them a fabulous addition to any muncher's snack cupboard."
76,B000G6RYNE,4,07/11/2007,"An indulgence with a bite Okay, I should not eat potato chips, nor should anyone.But these are so spicy, I would find it hard to eatvery many. That makes them an indulgence thatrescues some people from overindulgence."
77,B000G6RYNE,5,07/02/2007,"The best I've had I don't write very many reviews but I have to say that Kettle Brand chips are the best I have ever tasted. Every flavor is dynamite. If you are feeling iffy about honey dijon, I would recommend cheddar beer, absolutely amazing. And they're healthy! (besides a lil fat) I have eaten a lot of chips in my day and Kettle takes the cake. Enjoy, and don't eat them too fast."
78,B000G6RYNE,5,03/07/2007,"Excellent chip! I bought these for the office and no one can put them down. I'm ordering more today and it has only been 2 weeks. Didn't have to shop for them either, Amazon brought it to my door!"
79,B000G6RYNE,2,06/20/2008,salt and vinegar chips It was a great value and I like the package size but not vinegary enough for me. Won't order this brand again. Great chips otherwise.
80,B000G6RYNE,5,10/01/2012,Delicious!! Perfect!! They are my favorite because I can season with a variety of spices to exactly suit my tastes without all the salt!
81,B000G6RYNE,4,01/30/2012,"I like them. Amazon's suggestion for a 4 star review is ""I like it."" That being said, I gave a 5 star review to the Spicy Thai chips. These chips are perfect for people that enjoy a spicy chip, but whose taste buds don't appreciate the added sweetness and ginger flavor. The only thing I REALLY dislike about these chips (along with the rest of the flavors) is that the serving size is HALF the bag. Really? Who can eat half and save the rest for later??? Not me..."
82,B000G6RYNE,5,09/21/2011,"Love Kettle Chips These are a favorite at our home. We like the ones that have Sea Salt. We also like Barbeque flavored. These are not ruffly chips that have ridges. These are thickly cut plain slice potatoes. They are thick and crunchy and have a great texture in your mouth. They also have a great taste. The sea salt ones, which are a favorite, have just enough salt to have salt but not so much that you feel like you have to drink a gallon of water with your chips.Enjoy."
83,B000G6RYNE,5,12/16/2010,Best unsalted chips These are the best unsalted chips around and we have tried many. They have the best potato flavor. They came when you said they would.
84,B000G6RYNE,5,10/22/2010,"So Delicious...Yet my companions wont touch them. Great chips, great price. Odds are that you will have them to yourself. If you like your fish and chips soaked in malt vinegar, you will love these. The best salt and vinegar chips I have ever had (and I love this flavor, mind you). They are spectacular with deli sandwiches or on their own. Since I have found that S&V is palatable to only the most intelligent of our species I know that my afternoon snack is all mine, unless of course I run into another heavy brained, hearty breathed like mind. -Summary- If you like the taste of bitter sweet salty vinegar and a crispy chip to boot you wont pucker at the sight of these handily bagged morsels. It is the first and only time I have committed to a whole case of chips and I will do it again. Mmmmm... vinegar..."
85,B000G6RYNE,2,07/16/2009,"Love Kettle Chips, but not this flavor! I was really looking forward to trying these chips since I love cheese but I was SUPER DISAPPOINTED! I am a big fan of Kettle Chips but these tasted somewhat stale and almost plain! They are supposed to have a cheddar taste but you cannot taste any of that...it's annoying. I do not recommend this flavor..salt and vinegar and buffalo bleu are my favorite."
86,B000G6RYNE,1,01/30/2009,"Maybe the worst chips ever. These are perhaps the worst chips that have ever gone into my mouth.For my entire life Sour Cream & Onion (and in this case ""& Chive"") chips were my favorite. Recently Kettle brand Honey Dijon Mustard took that slot. So when I found out they had sour cream & onion I just had to try them.As soon as I opened the bag the chips smelled of powdered milk. And indeed each chip is coated with a powdered sour cream that is just awful. It tastes like rancid milk. Not just sour, but like sour cream that when rancid. The powdery texture is also extremely unappealing. I basically hated these chips. I would not recommend these chips to anyone unless they had a particular affinity for a powdery, chalky texture on a chip, with a rancid (and onion flavor) and I have a hard time believing that person exists.I plan on contacting Kettle and sharing my thoughts with them. Hopefully they'll reassess the seasoning on these otherwise wonderful kettle style chips."
87,B000G6RYNE,1,09/11/2009,"Surprise 1 It's different... Kettle chips now look, feel and taste like Lays. These chips used to be my favorite when it was crinkle cut and hefty. Now, no longer my favorite."
